Tuberculosis_locus,smegmatis_locus,H37RA_locus,Bovis_locus
0:Rv0651:748276-748812,1:MSMEG_RS06660:1458668-1459195,2:MRA_RS03440:749582-750118,3:BQ2027_RS03425:750045-750581
0:Rv0652:748849-749241,1:MSMEG_RS06665:1459265-1459657,2:MRA_RS03445:750155-750547,3:BQ2027_RS03430:750618-751010
0:Rv0655:751517-752596,1:MSMEG_RS06670:1459848-1460930,2:MRA_RS03460:752892-753902,3:BQ2027_RS03445:753355-754365
0:Rv2604c:2931693-2932289,1:MSMEG_RS14270:3001482-3002063,2:MRA_RS13880:2943661-2944257,3:BQ2027_RS13440:2903561-2904157
0:Rv2605c:2932297-2933142,1:MSMEG_RS14265:3000634-3001485,2:MRA_RS13885:2944265-2945110,3:BQ2027_RS13445:2904165-2905010
0:Rv2606c:2933171-2934070,1:MSMEG_RS14260:2999713-3000624,2:MRA_RS13890:2945139-2946038,3:BQ2027_RS13450:2905039-2905938
0:Rv2610c:2937865-2939001,1:MSMEG_RS14250:2997421-2998581,2:MRA_RS13910:2949833-2950969,3:BQ2027_RS13470:2909733-2910869
0:Rv2611c:2939012-2939962,1:MSMEG_RS14245:2996505-2997419,2:MRA_RS13915:2950980-2951930,3:BQ2027_RS13475:2910880-2911830
0:Rv2612c:2939959-2940612,1:MSMEG_RS14240:2995840-2996508,2:MRA_RS13920:2951927-2952580,3:BQ2027_RS13480:2911827-2912480
0:Rv2613c:2940609-2941196,1:MSMEG_RS14235:2995226-2995843,2:MRA_RS13925:2952577-2953164,3:BQ2027_RS13485:2912477-2913064
0:Rv2614c:2941189-2943267,1:MSMEG_RS14230:2993163-2995217,2:MRA_RS13930:2953157-2955235,3:BQ2027_RS13490:2913057-2915135
0:Rv0667:759807-763325,1:MSMEG_RS06675:1461630-1465139,2:MRA_RS03520:761113-764631,3:BQ2027_RS03505:761576-765094
0:Rv0668:763370-767320,1:MSMEG_RS06680:1465203-1469156,2:MRA_RS03525:764676-768626,3:BQ2027_RS03510:765139-769089
0:Rv0670:769792-770550,1:MSMEG_RS06755:1485148-1485900,2:MRA_RS03540:771098-771856,3:BQ2027_RS03525:771561-772319
0:Rv0672:771484-773112,1:MSMEG_RS06775:1488754-1490409,2:MRA_RS03550:772790-774418,3:BQ2027_RS03535:773253-774881
0:Rv0673:773123-774061,1:MSMEG_RS06780:1490456-1491394,2:MRA_RS03555:774429-775367,3:BQ2027_RS03540:774892-775830
0:Rv0674:774064-774786,1:MSMEG_RS06785:1491425-1492138,2:MRA_RS03560:775370-776092,3:BQ2027_RS03545:775833-776555
0:Rv0675:774783-775574,1:MSMEG_RS06790:1492135-1492899,2:MRA_RS03565:776089-776880,3:BQ2027_RS03550:776552-777343
0:Rv0680c:780042-780416,1:MSMEG_RS06810:1495614-1495991,2:MRA_RS03590:781348-781722,3:BQ2027_RS03575:781811-782185
0:Rv0681:780721-781311,1:MSMEG_RS06825:1497398-1498018,2:MRA_RS03595:782027-782617,3:BQ2027_RS03580:782490-783080
0:Rv0682:781560-781934,1:MSMEG_RS06830:1498302-1498676,2:MRA_RS03600:782866-783240,3:BQ2027_RS03585:783329-783703
0:Rv0683:781934-782404,1:MSMEG_RS06835:1498676-1499146,2:MRA_RS03605:783240-783710,3:BQ2027_RS03590:783703-784173
0:Rv0684:782485-784590,1:MSMEG_RS06840:1499217-1501323,2:MRA_RS03610:783791-785896,3:BQ2027_RS03595:784254-786359
0:Rv0685:784821-786011,1:MSMEG_RS06845:1501413-1502603,2:MRA_RS03615:786127-787317,3:BQ2027_RS03600:786590-787780
0:Rv0687:787099-787926,1:MSMEG_RS06890:1512243-1513094,2:MRA_RS03625:788405-789232,3:BQ2027_RS03610:788868-789695
0:Rv0691c:791070-791666,1:MSMEG_RS06940:1522270-1522872,2:MRA_RS03645:792376-792972,3:BQ2027_RS03630:792839-793435
0:Rv0692:791831-792160,1:MSMEG_RS06950:1523066-1523374,2:MRA_RS03655:793137-793466,3:BQ2027_RS03640:793600-793929
0:Rv0693:792157-793332,1:MSMEG_RS06955:1523371-1524549,2:MRA_RS03660:793463-794638,3:BQ2027_RS03645:793926-795101
0:Rv0694:793335-794525,1:MSMEG_RS06960:1524552-1525745,2:MRA_RS03665:794641-795831,3:BQ2027_RS03650:795104-796294
0:Rv0695:794715-795470,1:MSMEG_RS06965:1525867-1526610,2:MRA_RS03670:796021-796776,3:BQ2027_RS03655:796484-797239
0:Rv0696:795519-796931,1:MSMEG_RS06970:1526607-1528019,2:MRA_RS03675:796825-798237,3:BQ2027_RS03660:797288-798700
0:Rv0697:796933-798372,1:MSMEG_RS06975:1528038-1529444,2:MRA_RS03680:798239-799678,3:BQ2027_RS03665:798702-800141
0:valT:2969497-2969568,1:MSMEG_RS13750:2895813-2895887,2:MRA_RS14095:2981465-2981536,3:BQ2027_RS13660:2941370-2941441
0:glyT:2969753-2969825,1:MSMEG_RS13745:2895274-2895346,2:MRA_RS14100:2981721-2981793,3:BQ2027_RS13665:2941626-2941698
0:cysU:2969855-2969925,1:MSMEG_RS13740:2895172-2895245,2:MRA_RS14105:2981823-2981896,3:BQ2027_RS13670:2941728-2941801
0:Rv0700:800487-800792,1:MSMEG_RS07015:1537276-1537581,2:MRA_RS03700:801793-802098,3:BQ2027_RS03680:802255-802560
0:valU:2969942-2970013,1:MSMEG_RS13735:2895086-2895160,2:MRA_RS14110:2981910-2981984,3:BQ2027_RS13675:2941815-2941889
0:Rv0701:800809-801462,1:MSMEG_RS07020:1537596-1538249,2:MRA_RS03705:802115-802768,3:BQ2027_RS03685:802577-803230
0:Rv0702:801462-802133,1:MSMEG_RS07025:1538249-1538896,2:MRA_RS03710:802768-803439,3:BQ2027_RS03690:803230-803901
0:Rv0703:802133-802435,1:MSMEG_RS07030:1538896-1539198,2:MRA_RS03715:803439-803741,3:BQ2027_RS03695:803901-804203
0:Rv0704:802528-803370,1:MSMEG_RS07035:1539223-1540059,2:MRA_RS03720:803834-804676,3:BQ2027_RS03700:804350-805192
0:Rv0705:803411-803692,1:MSMEG_RS07040:1540081-1540362,2:MRA_RS03725:804717-804998,3:BQ2027_RS03705:805233-805514
0:Rv0706:803689-804282,1:MSMEG_RS07045:1540359-1540820,2:MRA_RS03730:804995-805588,3:BQ2027_RS03710:805511-806104
0:Rv0707:804282-805106,1:MSMEG_RS07050:1540820-1541647,2:MRA_RS03735:805588-806412,3:BQ2027_RS03715:806104-806928
0:Rv0708:805110-805526,1:MSMEG_RS07055:1541650-1542066,2:MRA_RS03740:806416-806832,3:BQ2027_RS03720:806932-807348
0:Rv0709:805526-805759,1:MSMEG_RS07060:1542066-1542299,2:MRA_RS03745:806832-807065,3:BQ2027_RS03725:807348-807581
0:Rv0711:806335-808698,1:MSMEG_RS07090:1546230-1548581,2:MRA_RS03755:807641-810004,3:BQ2027_RS03735:808157-810520
0:Rv0712:808746-809645,1:MSMEG_RS07095:1548624-1549514,2:MRA_RS03760:810052-810951,3:BQ2027_RS03740:810568-811467
0:Rv0714:811373-811741,1:MSMEG_RS07155:1561939-1562307,2:MRA_RS03770:812679-813047,3:BQ2027_RS03750:813195-813563
0:Rv0715:811742-812059,1:MSMEG_RS07160:1562308-1562625,2:MRA_RS03775:813048-813365,3:BQ2027_RS03755:813564-813881
0:Rv0716:812059-812622,1:MSMEG_RS07165:1562625-1563188,2:MRA_RS03780:813365-813928,3:BQ2027_RS03760:813881-814444
0:Rv0717:812627-812812,1:MSMEG_RS07170:1563192-1563377,2:MRA_RS03785:813933-814118,3:BQ2027_RS03765:814449-814634
0:Rv0718:812976-813374,1:MSMEG_RS07175:1563476-1563874,2:MRA_RS03790:814282-814680,3:BQ2027_RS03770:814798-815196
0:Rv0719:813398-813937,1:MSMEG_RS07180:1563889-1564428,2:MRA_RS03795:814704-815243,3:BQ2027_RS03775:815220-815759
0:Rv0720:813940-814308,1:MSMEG_RS07185:1564432-1564839,2:MRA_RS03800:815246-815614,3:BQ2027_RS03780:815762-816130
0:Rv0721:814328-814990,1:MSMEG_RS07190:1564865-1565509,2:MRA_RS03805:815634-816296,3:BQ2027_RS03785:816150-816812
0:Rv0722:814993-815190,1:MSMEG_RS07195:1565512-1565697,2:MRA_RS03810:816299-816496,3:BQ2027_RS03790:816815-817012
0:Rv0723:815190-815630,1:MSMEG_RS07200:1565694-1566137,2:MRA_RS03815:816496-816936,3:BQ2027_RS03795:817012-817452
0:Rv2669:2985283-2985753,1:MSMEG_RS13515:2855568-2856098,2:MRA_RS14230:2997251-2997721,3:BQ2027_RS13725:2946174-2946644
0:Rv0725c:817539-818444,1:MSMEG_RS07225:1571431-1572342,2:MRA_RS03825:818837-819750,3:BQ2027_RS03805:819353-820266
0:Rv2670c:2985731-2986840,1:MSMEG_RS13510:2854529-2855566,2:MRA_RS14235:2997699-2998808,3:BQ2027_RS13730:2946622-2947731
0:Rv2671:2986839-2987615,1:MSMEG_RS13505:2853712-2854494,2:MRA_RS14240:2998807-2999583,3:BQ2027_RS13735:2947730-2948506
0:Rv2672:2987682-2989268,1:MSMEG_RS13500:2852103-2853683,2:MRA_RS14245:2999650-3001236,3:BQ2027_RS13740:2948573-2950159
0:Rv2673:2989291-2990592,1:MSMEG_RS13495:2850789-2852081,2:MRA_RS14250:3001259-3002560,3:BQ2027_RS13745:2950182-2951483
0:Rv2674:2990706-2991116,1:MSMEG_RS13490:2850324-2850737,2:MRA_RS14255:3002674-3003084,3:BQ2027_RS13750:2951652-2952062
0:Rv2676c:2991933-2992628,1:MSMEG_RS13480:2849229-2849924,2:MRA_RS14265:3003901-3004596,3:BQ2027_RS13760:2952879-2953574
0:Rv0732:824800-826125,1:MSMEG_RS07245:1575442-1576767,2:MRA_RS03860:826106-827431,3:BQ2027_RS03840:826622-827947
0:Rv2677c:2992634-2993992,1:MSMEG_RS13475:2847863-2849224,2:MRA_RS14270:3004602-3005960,3:BQ2027_RS13765:2953580-2954938
0:Rv0733:826122-826667,1:MSMEG_RS07250:1576764-1577309,2:MRA_RS03865:827428-827973,3:BQ2027_RS03845:827944-828489
0:Rv2678c:2993989-2995062,1:MSMEG_RS13470:2846805-2847866,2:MRA_RS14275:3005957-3007030,3:BQ2027_RS13770:2954935-2956008
0:Rv0734:826670-827470,1:MSMEG_RS07255:1577329-1578126,2:MRA_RS03870:827976-828776,3:BQ2027_RS03850:828492-829292
0:Rv2680:2996105-2996737,1:MSMEG_RS13465:2846102-2846683,2:MRA_RS14285:3008073-3008705,3:BQ2027_RS13780:2957153-2957785
0:Rv2681:2996739-2998055,1:MSMEG_RS13460:2844852-2846099,2:MRA_RS14290:3008707-3010023,3:BQ2027_RS13785:2957787-2959103
0:Rv2689c:3005845-3007062,1:MSMEG_RS13435:2837995-2839188,2:MRA_RS14330:3017813-3019030,3:BQ2027_RS13825:2966893-2968110
0:Rv2690c:3007236-3009209,1:MSMEG_RS13430:2835995-2837998,2:MRA_RS14335:3019204-3021177,3:BQ2027_RS13830:2968266-2970257
0:Rv2691:3009344-3010027,1:MSMEG_RS13425:2835223-2835897,2:MRA_RS14340:3021312-3021995,3:BQ2027_RS13835:2970392-2971075
0:Rv2692:3010024-3010686,1:MSMEG_RS13420:2834517-2835185,2:MRA_RS14345:3021992-3022654,3:BQ2027_RS13840:2971072-2971734
0:Rv2693c:3010697-3011368,1:MSMEG_RS13415:2833777-2834520,2:MRA_RS14350:3022665-3023336,3:BQ2027_RS13845:2971745-2972416
0:Rv2694c:3011399-3011767,1:MSMEG_RS13410:2833409-2833780,2:MRA_RS14355:3023367-3023735,3:BQ2027_RS13850:2972447-2972815
0:Rv2695:3011916-3012623,1:MSMEG_RS13405:2832575-2833273,2:MRA_RS14360:3023884-3024591,3:BQ2027_RS13855:2972964-2973671
0:Rv2696c:3012829-3013608,1:MSMEG_RS13400:2831741-2832532,2:MRA_RS14365:3024797-3025576,3:BQ2027_RS13860:2973877-2974656
0:Rv2697c:3013683-3014147,1:MSMEG_RS13395:2831277-2831741,2:MRA_RS14370:3025651-3026115,3:BQ2027_RS13865:2974731-2975195
0:Rv0752c:843242-844414,1:MSMEG_RS07315:1588538-1589725,2:MRA_RS03970:844548-845720,3:BQ2027_RS03965:845432-846604
0:Rv2698:3014173-3014658,1:MSMEG_RS13390:2830772-2831251,2:MRA_RS14375:3026141-3026626,3:BQ2027_RS13870:2975221-2975706
0:Rv0753c:844421-845953,1:MSMEG_RS07320:1589732-1591252,2:MRA_RS03975:845727-847259,3:BQ2027_RS03970:846611-848143
0:Rv2699c:3014663-3014965,1:MSMEG_RS13385:2830449-2830751,2:MRA_RS14380:3026631-3026933,3:BQ2027_RS13875:2975711-2976013
0:Rv2700:3015203-3015853,1:MSMEG_RS13380:2829633-2830283,2:MRA_RS14385:3027171-3027821,3:BQ2027_RS13880:2976251-2976901
0:Rv2702:3016858-3017655,1:MSMEG_RS13370:2827821-2828639,2:MRA_RS14395:3028826-3029623,3:BQ2027_RS13890:2977906-2978703
0:thrV:850642-850713,1:MSMEG_RS28315:5937904-5937978,2:MRA_RS03995:851948-852019,3:BQ2027_RS03990:852832-852903
0:Rv0756c:850741-851466,1:MSMEG_RS28310:5937058-5937876,2:MRA_RS04000:852047-852772,3:BQ2027_RS03995:852931-853656
0:Rv0757:851608-852351,1:MSMEG_RS28305:5936199-5936918,2:MRA_RS04005:852914-853657,3:BQ2027_RS04000:853798-854541
0:Rv2705c:3019814-3020203,1:MSMEG_RS13360:2825532-2825897,2:MRA_RS14410:3031782-3032171,3:BQ2027_RS13905:2980862-2981251
0:Rv0758:852396-853853,1:MSMEG_RS28300:5934730-5936169,2:MRA_RS04010:853702-855159,3:BQ2027_RS04005:854586-856043
0:Rv0759c:853825-854157,1:MSMEG_RS28295:5934354-5934770,2:MRA_RS04015:855131-855532,3:BQ2027_RS04010:856015-856416
0:Rv2707:3020573-3021547,1:MSMEG_RS13350:2824118-2825110,2:MRA_RS14420:3032541-3033515,3:BQ2027_RS13915:2981621-2982595
0:Rv2708c:3021548-3021796,1:MSMEG_RS13345:2823878-2824114,2:MRA_RS14425:3033516-3033755,3:BQ2027_RS13920:2982596-2982835
0:Rv2709:3021839-3022285,1:MSMEG_RS13340:2823372-2823800,2:MRA_RS14430:3033807-3034253,3:BQ2027_RS13925:2982887-2983333
0:Rv0762c:855925-856470,1:MSMEG_RS28270:5930884-5931423,2:MRA_RS04030:857231-857776,3:BQ2027_RS04025:858114-858659
0:Rv2710:3022461-3023432,1:MSMEG_RS13335:2822265-2823224,2:MRA_RS14435:3034429-3035400,3:BQ2027_RS13930:2983509-2984480
0:Rv0763c:856473-856679,1:MSMEG_RS28265:5930669-5930872,2:MRA_RS04035:857779-857985,3:BQ2027_RS04030:858662-858868
0:Rv2711:3023565-3024257,1:MSMEG_RS13330:2821344-2822036,2:MRA_RS14440:3035533-3036225,3:BQ2027_RS13935:2984613-2985305
0:Rv0764c:856682-858037,1:MSMEG_RS28260:5929309-5930664,2:MRA_RS04040:857988-859343,3:BQ2027_RS04035:858871-860226
0:Rv0765c:858037-858864,1:MSMEG_RS28255:5928485-5929312,2:MRA_RS04045:859343-860170,3:BQ2027_RS04040:860226-861053
0:Rv2713:3025441-3026847,1:MSMEG_RS13320:2818671-2820077,2:MRA_RS14450:3037409-3038815,3:BQ2027_RS13945:2986489-2987895
0:Rv0766c:858864-860072,1:MSMEG_RS28250:5927282-5928484,2:MRA_RS04050:860170-861378,3:BQ2027_RS04045:861053-862261
0:Rv0767c:860069-860710,1:MSMEG_RS28245:5926686-5927285,2:MRA_RS04055:861375-862016,3:BQ2027_RS04050:862258-862899
0:Rv2715:3028098-3029123,1:MSMEG_RS13305:2815547-2816568,2:MRA_RS14460:3040066-3041091,3:BQ2027_RS13955:2989146-2990171
0:Rv0768:860912-862381,1:MSMEG_RS28240:5925031-5926500,2:MRA_RS04060:862218-863687,3:BQ2027_RS04055:863101-864570
0:Rv2716:3029172-3029858,1:MSMEG_RS13300:2814822-2815511,2:MRA_RS14465:3041140-3041826,3:BQ2027_RS13960:2990220-2990906
0:Rv0769:862412-863158,1:MSMEG_RS28235:5924255-5925019,2:MRA_RS04065:863718-864464,3:BQ2027_RS04060:864601-865347
0:Rv0770:863256-864143,1:MSMEG_RS28230:5923404-5924258,2:MRA_RS04070:864562-865449,3:BQ2027_RS04065:865445-866332
0:Rv2718c:3030413-3030877,1:MSMEG_RS13295:2814351-2814803,2:MRA_RS14475:3042381-3042845,3:BQ2027_RS13970:2991461-2991925
0:Rv0771:864140-864574,1:MSMEG_RS28225:5922946-5923401,2:MRA_RS04075:865446-865880,3:BQ2027_RS04070:866329-866763
0:Rv2720:3031788-3032498,1:MSMEG_RS13285:2812637-2813368,2:MRA_RS14485:3043756-3044466,3:BQ2027_RS13980:2992836-2993546
0:Rv0775:868407-869030,1:MSMEG_RS28195:5916780-5917409,2:MRA_RS04095:869713-870336,3:BQ2027_RS04090:870596-871219
0:Rv0777:870008-871426,1:MSMEG_RS28180:5912178-5913596,2:MRA_RS04105:871314-872732,3:BQ2027_RS04100:872197-873615
0:Rv0778:871431-872675,1:MSMEG_RS28175:5910956-5912161,2:MRA_RS04110:872737-873981,3:BQ2027_RS04105:873620-874864
0:Rv0780:873343-874236,1:MSMEG_RS28150:5906984-5907883,2:MRA_RS04120:874649-875542,3:BQ2027_RS04115:875532-876425
0:Rv2728c:3040766-3041461,1:MSMEG_RS13250:2801903-2802589,2:MRA_RS14525:3052734-3053429,3:BQ2027_RS14020:3001814-3002509
0:Rv0782:874732-876390,1:MSMEG_RS28145:5904831-5906987,2:MRA_RS04130:875539-877696,3:BQ2027_RS04120:876422-878581
0:Rv0784:878638-879324,1:MSMEG_RS28125:5902536-5903252,2:MRA_RS04145:879926-880630,3:BQ2027_RS04135:880811-881515
0:Rv2733c:3044986-3046524,1:MSMEG_RS13230:2797337-2798875,2:MRA_RS14550:3056954-3058492,3:BQ2027_RS14045:3006034-3007572
0:Rv0787A:882524-882763,1:MSMEG_RS28105:5899268-5899507,2:MRA_RS04165:883830-884069,3:BQ2027_RS04155:884714-884953
0:Rv2736c:3048562-3049086,1:MSMEG_RS13205:2793381-2793947,2:MRA_RS14560:3060530-3061054,3:BQ2027_RS14060:3009610-3010134
0:Rv0788:882760-883434,1:MSMEG_RS28100:5898597-5899271,2:MRA_RS04170:884066-884740,3:BQ2027_RS04160:884950-885624
0:Rv2738c:3051806-3052012,1:MSMEG_RS13095:2774435-2774629,2:MRA_RS14575:3063774-3063980,3:BQ2027_RS14075:3012854-3013060
0:Rv2739c:3052023-3053189,1:MSMEG_RS13090:2773253-2774425,2:MRA_RS14580:3063991-3065157,3:BQ2027_RS14080:3013071-3014237
0:Rv2740:3053233-3053682,1:MSMEG_RS13085:2772781-2773209,2:MRA_RS14585:3065201-3065650,3:BQ2027_RS14085:3014281-3014730
0:Rv2743c:3056420-3057232,1:MSMEG_RS13075:2771533-2772369,2:MRA_RS14600:3068388-3069200,3:BQ2027_RS14110:3017406-3018218
0:Rv2744c:3057251-3058063,1:MSMEG_RS13070:2770675-2771514,2:MRA_RS14605:3069219-3070031,3:BQ2027_RS14115:3018237-3019049
0:Rv2745c:3058193-3058531,1:MSMEG_RS13065:2770097-2770435,2:MRA_RS14610:3070161-3070499,3:BQ2027_RS14120:3019179-3019517
0:Rv0798c:891472-892269,1:MSMEG_RS28095:5897635-5898432,2:MRA_RS04220:892778-893575,3:BQ2027_RS04200:892302-893099
0:Rv0799c:892266-893273,1:MSMEG_RS28090:5896604-5897635,2:MRA_RS04225:893572-894579,3:BQ2027_RS04205:893096-894103
0:Rv2747:3059262-3059786,1:MSMEG_RS13050:2768315-2768797,2:MRA_RS14620:3071230-3071754,3:BQ2027_RS14130:3020248-3020772
0:Rv0800:893318-894619,1:MSMEG_RS28085:5895289-5896554,2:MRA_RS04230:894624-895925,3:BQ2027_RS04210:894148-895449
0:Rv2748c:3059855-3062506,1:MSMEG_RS13045:2765674-2768304,2:MRA_RS14625:3071823-3074474,3:BQ2027_RS14135:3020841-3023492
0:Rv2749:3062505-3062819,1:MSMEG_RS13040:2765195-2765509,2:MRA_RS14630:3074473-3074787,3:BQ2027_RS14140:3023491-3023805
0:Rv2750:3062816-3063634,1:MSMEG_RS13035:2764345-2765172,2:MRA_RS14635:3074784-3075602,3:BQ2027_RS14145:3023802-3024620
0:Rv2752c:3064515-3066191,1:MSMEG_RS13025:2762206-2763882,2:MRA_RS14645:3076483-3078159,3:BQ2027_RS14155:3025501-3027177
0:Rv2753c:3066222-3067124,1:MSMEG_RS13020:2761290-2762198,2:MRA_RS14650:3078190-3079092,3:BQ2027_RS14160:3027208-3028110
0:Rv2754c:3067193-3067945,1:MSMEG_RS13015:2760518-2761270,2:MRA_RS14655:3079161-3079913,3:BQ2027_RS14165:3028179-3028931
0:Rv0807:901635-902024,1:MSMEG_RS28030:5883420-5883806,2:MRA_RS04265:902941-903330,3:BQ2027_RS04245:902465-902854
0:Rv0809:903725-904819,1:MSMEG_RS27945:5865211-5866293,2:MRA_RS04275:905031-906125,3:BQ2027_RS04255:904555-905649
0:Rv0810c:904905-905087,1:MSMEG_RS27940:5865007-5865180,2:MRA_RS04280:906211-906393,3:BQ2027_RS04260:905735-905917
0:Rv0812:906423-907292,1:MSMEG_RS27930:5862693-5863580,2:MRA_RS04290:907729-908598,3:BQ2027_RS04270:907253-908122
0:Rv0813c:907338-908018,1:MSMEG_RS27915:5861038-5861694,2:MRA_RS04295:908644-909324,3:BQ2027_RS04275:908168-908848
0:Rv0814c:908181-908483,1:MSMEG_RS27910:5860499-5860801,2:MRA_RS04305:909487-909789,3:BQ2027_RS04280:909011-909313
0:Rv0815c:908485-909318,1:MSMEG_RS27905:5859664-5860497,2:MRA_RS04310:909791-910624,3:BQ2027_RS04285:909315-910148
0:Rv0816c:909611-910033,1:MSMEG_RS27890:5858470-5858934,2:MRA_RS04315:910917-911339,3:BQ2027_RS04290:910441-910863
0:Rv2764c:3073680-3074471,1:MSMEG_RS12960:2749543-2750343,2:MRA_RS14705:3085648-3086448,3:BQ2027_RS14215:3034666-3035466
0:Rv0817c:910030-910842,1:MSMEG_RS27885:5857658-5858473,2:MRA_RS04320:911336-912148,3:BQ2027_RS04295:910860-911672
0:Rv2765:3074636-3075373,1:MSMEG_RS12955:2748751-2749500,2:MRA_RS14710:3086604-3087341,3:BQ2027_RS14220:3035622-3036359
0:Rv0818:910972-911739,1:MSMEG_RS27880:5856707-5857492,2:MRA_RS04325:912278-913045,3:BQ2027_RS04300:911802-912569
0:Rv0819:911736-912683,1:MSMEG_RS27875:5855822-5856710,2:MRA_RS04330:913042-913989,3:BQ2027_RS04305:912566-913513
0:Rv0820:912726-913502,1:MSMEG_RS27855:5851717-5852493,2:MRA_RS04335:914032-914808,3:BQ2027_RS04310:913556-914332
0:Rv0823c:916477-917646,1:MSMEG_RS27830:5845631-5846764,2:MRA_RS04350:917783-918952,3:BQ2027_RS04325:917307-918476
0:Rv2771c:3080581-3081033,1:MSMEG_RS12940:2746888-2747343,2:MRA_RS14740:3092549-3093001,3:BQ2027_RS14250:3041567-3042019
0:Rv2772c:3081119-3081592,1:MSMEG_RS12935:2746424-2746891,2:MRA_RS14745:3093087-3093560,3:BQ2027_RS14255:3042105-3042578
0:Rv2773c:3081604-3082341,1:MSMEG_RS12930:2745690-2746427,2:MRA_RS14750:3093572-3094309,3:BQ2027_RS14260:3042590-3043327
0:Rv0826:919634-920689,1:MSMEG_RS27800:5841139-5842152,2:MRA_RS04365:920940-921995,3:BQ2027_RS04340:920464-921519
0:Rv2779c:3086215-3086754,1:MSMEG_RS12910:2741778-2742293,2:MRA_RS14780:3098183-3098698,3:BQ2027_RS14290:3047201-3047692
0:Rv2780:3086820-3087935,1:MSMEG_RS12905:2740567-2741682,2:MRA_RS14785:3098788-3099903,3:BQ2027_RS14295:3047782-3048896
0:lysT:923803-923875,1:MSMEG_RS27755:5834573-5834645,2:MRA_RS04395:925109-925181,3:BQ2027_RS04370:924633-924705
0:gluT:923999-924072,1:MSMEG_RS27750:5834322-5834394,2:MRA_RS04400:925305-925378,3:BQ2027_RS04375:924829-924902
0:Rv2782c:3089045-3090361,1:MSMEG_RS12895:2738266-2739615,2:MRA_RS14795:3101013-3102329,3:BQ2027_RS14305:3050006-3051322
0:aspT:924110-924183,1:MSMEG_RS27745:5834209-5834285,2:MRA_RS04405:925416-925492,3:BQ2027_RS04380:924940-925016
0:pheU:924213-924286,1:MSMEG_RS27740:5834094-5834167,2:MRA_RS04410:925519-925595,3:BQ2027_RS04385:925043-925119
0:Rv2784c:3092951-3093466,1:MSMEG_RS12885:2735260-2735667,2:MRA_RS14805:3104919-3105434,3:BQ2027_RS14315:3053912-3054427
0:Rv2785c:3093479-3093748,1:MSMEG_RS12880:2734886-2735155,2:MRA_RS14810:3105447-3105716,3:BQ2027_RS14320:3054440-3054709
0:Rv2786c:3093905-3094900,1:MSMEG_RS12875:2733807-2734784,2:MRA_RS14815:3105873-3106847,3:BQ2027_RS14325:3054866-3055840
0:Rv2793c:3102364-3103260,1:MSMEG_RS12855:2729620-2730531,2:MRA_RS14850:3114332-3115228,3:BQ2027_RS14360:3063325-3064221
0:Rv2794c:3103257-3103940,1:MSMEG_RS12850:2728958-2729623,2:MRA_RS14855:3115225-3115908,3:BQ2027_RS14365:3064218-3064901
0:Rv2795c:3103937-3104911,1:MSMEG_RS12845:2727996-2728961,2:MRA_RS14860:3115905-3116879,3:BQ2027_RS14370:3064898-3065872
0:Rv2800:3108416-3110065,1:MSMEG_RS12830:2724054-2725727,2:MRA_RS14885:3120384-3122033,3:BQ2027_RS14395:3069380-3071029
0:Rv0853c:949436-951118,1:MSMEG_RS27650:5818600-5820267,2:MRA_RS04525:950742-952424,3:BQ2027_RS04490:950191-951873
0:Rv0855:951632-952711,1:MSMEG_RS27645:5817499-5818581,2:MRA_RS04535:952938-954017,3:BQ2027_RS04500:952387-953466
0:Rv0859:955077-956288,1:MSMEG_RS27580:5805343-5806554,2:MRA_RS04555:956383-957594,3:BQ2027_RS04520:955831-957042
0:Rv0860:956293-958455,1:MSMEG_RS27575:5803163-5805325,2:MRA_RS04560:957599-959761,3:BQ2027_RS04525:957047-959209
0:Rv0861c:958523-960151,1:MSMEG_RS27500:5791133-5792782,2:MRA_RS04565:959829-961478,3:BQ2027_RS04530:959277-960926
0:Rv0862c:960342-962612,1:MSMEG_RS27495:5788729-5790984,2:MRA_RS04570:961648-963918,3:BQ2027_RS04535:961043-963313
0:Rv0863:962599-962880,1:MSMEG_RS27490:5788473-5788670,2:MRA_RS04575:963986-964186,3:BQ2027_RS04540:963381-963581
0:Rv0864:962890-963393,1:MSMEG_RS27485:5787997-5788470,2:MRA_RS04580:964196-964699,3:BQ2027_RS04545:963591-964093
0:Rv0865:963390-963872,1:MSMEG_RS27480:5787521-5788000,2:MRA_RS04585:964696-965178,3:BQ2027_RS04550:964090-964572
0:Rv0866:963869-964294,1:MSMEG_RS27475:5787056-5787484,2:MRA_RS04590:965175-965600,3:BQ2027_RS04555:964569-964994
0:Rv0868c:965983-966261,1:MSMEG_RS27465:5784878-5785144,2:MRA_RS04600:967289-967567,3:BQ2027_RS04565:966443-966721
0:Rv0869c:966265-967347,1:MSMEG_RS27460:5783792-5784877,2:MRA_RS04605:967571-968653,3:BQ2027_RS04570:966725-967807
0:Rv0870c:967344-967733,1:MSMEG_RS27455:5783385-5783795,2:MRA_RS04610:968650-969039,3:BQ2027_RS04575:967804-968193
0:Rv0871:967898-968305,1:MSMEG_RS27450:5782812-5783222,2:MRA_RS04615:969204-969611,3:BQ2027_RS04580:968358-968765
0:Rv0876c:974291-975937,1:MSMEG_RS27435:5779647-5781245,2:MRA_RS04640:975597-977243,3:BQ2027_RS04605:974757-976403
